ID,Sales Segment,Global Region,Industry,Booking Date Date,Lead Source,Type,Reporting Type Reason,Stage Name,Source,Number of Employees,Is Customer (Yes / No),Created Date,Tenure Months,Total ARR
1893,SMB,NA,Internet Software & Services,2019-09-13,,Upgrade,Upgrade,Closed Won,,11,Yes,2019-07-12,39 Months,$11K
1894,Emerging,NA,Software,2019-09-13,Website,New Deal,New,Closed Won,Website,,Yes,2019-07-22,58 Months,$8K
1895,Emerging,NA,Healthcare,2019-09-13,,New Deal,New,Closed Won,,230,Yes,2019-06-06,41 Months,$11K
1896,Emerging,NA,Internet Software & Services,2019-09-13,,Upgrade,Upgrade,Closed Won,,13,Yes,2019-09-10,31 Months,$2K
1897,Emerging,NA,"Hotels, Restaurants & Leisure",2019-09-13,Website,New Deal,New,Closed Won,Website,10,Yes,2019-08-15,58 Months,$9K
1898,SMB,NA,Internet Software & Services,2019-09-13,,Upgrade,Upgrade,Closed Won,,51,Yes,2019-09-12,41 Months,$3K
1899,Mid-Market,NA,Internet Software & Services,2019-09-13,,Upgrade,Upgrade,Closed Won,,201,Yes,2019-08-19,41 Months,$6K
1900,Mid-Market,NA,"Textiles, Apparel & Luxury Goods",2019-09-13,,Upgrade,Upgrade,Closed Won,,250,Yes,2019-06-10,15 Months,$19K
1901,SMB,NA,Internet Software & Services,2019-09-13,,Upgrade,Upgrade,Closed Lost,,29,Yes,2019-06-25,60 Months,$13K
1902,SMB,NA,Professional Services,2019-09-13,,Upgrade,Upgrade,Disqualified,,74,Yes,2019-09-09,60 Months,-$960.10
1903,Emerging,NA,Internet Software & Services,2019-09-13,,New Deal,New,Closed Won,,15,Yes,2019-08-19,31 Months,$21K
1904,Emerging,NA,Internet Software & Services,2019-09-13,,Upgrade,Upgrade,Closed Won,,30,Yes,2019-08-22,4 Months,$4K
1905,Emerging,EMEA,,2019-09-13,Website,New Deal,New,Closed Won,Website,,Yes,2019-08-26,11 Months,$9K
1906,Emerging,NA,Finance,2019-09-13,,Upgrade,Upgrade,Closed Won,,,Yes,2019-09-13,41 Months,$10K
1907,SMB,NA,Internet Software & Services,2019-09-13,,Upgrade,Upgrade,Closed Won,,0,No,2019-09-12,60 Months,$1K
1908,Emerging,NA,Internet Software & Services,2019-09-12,,Upgrade,Upgrade,Closed Won,,,Yes,2019-09-11,7 Months,$2K
1909,Emerging,NA,Professional Services,2019-09-12,,Upgrade,Upgrade,Closed Won,,10,Yes,2019-09-12,4 Months,$4K
1910,Emerging,NA,,2019-09-12,,Upgrade,Upgrade,Closed Won,,,Yes,2019-09-12,47 Months,$2K
1911,Emerging,NA,Internet Software & Services,2019-09-12,,Upgrade,Upgrade,Closed Won,,30,Yes,2019-09-09,60 Months,$2K
1912,Emerging,NA,Consulting,2019-09-12,,Upgrade,Upgrade,Closed Won,,50,Yes,2019-09-11,31 Months,$1K
1913,SMB,NA,Internet Software & Services,2019-09-12,,Upgrade,Upgrade,Closed Won,,11,Yes,2019-08-02,60 Months,$2K
1914,SMB,EMEA,Internet Software & Services,2019-09-12,,Upgrade,Upgrade,Closed Won,,12,Yes,2019-09-11,7 Months,-$480.00
1915,Emerging,NA,Internet,2019-09-12,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,50,Yes,2019-08-23,31 Months,$16K
1916,SMB,NA,Internet Software & Services,2019-09-12,,Upgrade,Upgrade,Closed Won,,11,Yes,2019-09-10,47 Months,$2K
1917,Emerging,NA,Consulting,2019-09-11,,Upgrade,Upgrade,Closed Won,,50,Yes,2019-09-10,31 Months,$1K
1918,Enterprise,NA,Diversified Financial Services,2019-09-11,,Billing Transfer,Billing Transfer,Closed Won,,"1,847",Yes,2019-09-11,42 Months,$63K
1919,SMB,NA,Internet Software & Services,2019-09-11,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,40,Yes,2019-07-19,47 Months,$10K
1920,Emerging,NA,Internet Software & Services,2019-09-11,,Billing Transfer,Billing Transfer,Closed Won,,20,Yes,2019-09-11,,$7K
1921,SMB,NA,Internet Software & Services,2019-09-11,,Billing Transfer,Billing Transfer,Closed Won,,237,No,2019-09-11,42 Months,$23K
1922,SMB,NA,Internet Software & Services,2019-09-11,,Upgrade,Upgrade,Closed Won,,201,Yes,2019-09-10,31 Months,$1K
1923,Emerging,NA,Computer Software,2019-09-11,Data Vendor,New Deal,New,Closed Won,Data Vendor,60,Yes,2019-08-16,47 Months,$19K
1924,Emerging,EMEA,Internet Software & Services,2019-09-11,Website,New Deal,New,Closed Won,Website,,Yes,2019-05-13,11 Months,$12K
1925,Emerging,EMEA,,2019-09-11,,New Deal,New,Closed Lost,,,No,2019-09-03,11 Months,$8K
1926,Emerging,NA,Professional Services,2019-09-11,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,11,No,2019-08-05,47 Months,$12K
1927,SMB,NA,Internet Software & Services,2019-09-11,Google Natural Search,New Deal,New,Closed Lost,Google Natural Search,623,Yes,2019-05-02,41 Months,$13K
1928,Emerging,NA,Transportation,2019-09-11,,Upgrade,Upgrade,Closed Won,,30,Yes,2019-09-09,60 Months,-$960.02
1929,SMB,APAC,Internet Software & Services,2019-09-11,,Upgrade,Upgrade,Closed Won,,117,Yes,2019-09-09,41 Months,$4K
1930,Emerging,NA,Internet Software & Services,2019-09-11,,Upgrade,Upgrade,Closed Won,,20,Yes,2019-09-10,47 Months,-$900.00
1931,SMB,NA,Internet Software & Services,2019-09-11,Website,New Deal,New,Closed Won,Website,0,Yes,2019-07-15,47 Months,$9K
1932,SMB,NA,Internet Software & Services,2019-09-11,Website,New Deal,New,Closed Won,Website,66,Yes,2019-08-07,47 Months,$8K
1933,Emerging,NA,Internet Software & Services,2019-09-11,,Upgrade,Upgrade,Closed Won,,,Yes,2019-09-11,60 Months,$2K
1934,SMB,NA,Internet Software & Services,2019-09-11,,Upgrade,Upgrade,Closed Won,,30,Yes,2019-09-09,60 Months,$1K
1935,Emerging,NA,Internet Software & Services,2019-09-10,,Upgrade,Upgrade,Closed Won,,28,Yes,2019-09-06,60 Months,$1K
1936,Emerging,NA,Internet Software & Services,2019-09-10,,New Deal,New,Closed Won,,70,Yes,2019-08-27,31 Months,$8K
1937,SMB,EMEA,Internet,2019-09-10,Website,New Deal,New,Closed Won,Website,136,Yes,2019-07-17,31 Months,$111K
1938,Mid-Market,NA,Internet Software & Services,2019-09-10,,Upgrade,Upgrade,Closed Won,,350,Yes,2019-08-30,39 Months,$12K
1939,Emerging,NA,Internet Software & Services,2019-09-10,,Upgrade,Upgrade,Closed Won,,83,Yes,2019-08-19,41 Months,$3K
1940,Mid-Market,NA,Internet Software & Services,2019-09-10,,Upgrade,Upgrade,Closed Won,,"1,001",Yes,2019-05-08,60 Months,$14K
1941,SMB,NA,Diversified Financial Services,2019-09-10,,Upgrade,Upgrade,Closed Won,,179,Yes,2019-09-09,39 Months,$2K
1942,Emerging,NA,Internet Software & Services,2019-09-10,,Upgrade,Upgrade,Closed Won,,11,Yes,2019-09-10,60 Months,$8K
1943,SMB,NA,Computer Software,2019-09-10,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,314,Yes,2019-03-04,39 Months,$18K
1944,Emerging,EMEA,Internet Software & Services,2019-09-10,,Upgrade,Upgrade,Closed Won,,45,Yes,2019-09-09,11 Months,-$900.00
1945,Emerging,NA,Internet Software & Services,2019-09-10,,Upgrade,Upgrade,Closed Won,,95,Yes,2019-08-20,4 Months,$2K
1946,SMB,NA,Computer Software,2019-09-10,,Upgrade,Upgrade,Closed Won,,0,Yes,2019-07-09,39 Months,$5K
1947,Emerging,EMEA,,2019-09-10,Website,New Deal,New,Closed Won,Website,,Yes,2019-07-22,11 Months,$6K
1948,Emerging,NA,Internet Software & Services,2019-09-10,,Upgrade,Upgrade,Closed Won,,5,Yes,2019-09-09,60 Months,$1K
1949,Emerging,EMEA,Internet Software & Services,2019-09-10,,Upgrade,Upgrade,Closed Won,,100,Yes,2019-09-09,11 Months,$5K
1950,SMB,NA,Internet Software & Services,2019-09-09,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,116,Yes,2019-05-09,39 Months,$8K
1951,Emerging,NA,Internet Software & Services,2019-09-09,,Upgrade,Upgrade,Closed Won,,48,Yes,2019-09-09,60 Months,$1K
1952,Enterprise,NA,Financial Services,2019-09-09,,Upgrade,Upgrade,Closed Won,,"49,300",Yes,2019-09-06,47 Months,$2K
1953,Emerging,NA,Internet Software & Services,2019-09-09,,Upgrade,Upgrade,Closed Won,,33,Yes,2019-09-09,60 Months,$1K
1954,Emerging,NA,Consulting,2019-09-09,,Upgrade,Upgrade,Closed Won,,,Yes,2019-09-04,47 Months,$1K
1955,Emerging,NA,Internet Software & Services,2019-09-09,,New Deal,New,Closed Won,,50,Yes,2019-08-28,58 Months,$8K
1956,Emerging,NA,Professional Services,2019-09-09,,Upgrade,Upgrade,Closed Won,,8,Yes,2019-09-05,60 Months,$1K
1957,Mid-Market,NA,Internet Software & Services,2019-09-09,,Upgrade,Upgrade,Closed Lost,,570,Yes,2019-08-19,60 Months,$4K
1958,Emerging,NA,Biotechnology,2019-09-09,,Upgrade,Upgrade,Closed Won,,0,Yes,2019-09-04,7 Months,$2K
1959,Enterprise,NA,Professional Services,2019-09-09,,Upgrade,Upgrade,Closed Won,,"1,200",Yes,2019-09-04,39 Months,$4K
1960,Emerging,NA,Professional Services,2019-09-09,Website,New Deal,New,Closed Lost,Website,0,No,2019-08-22,47 Months,$8K
1961,Enterprise,NA,Internet Software & Services,2019-09-09,Google Natural Search,New Deal,New,Closed Lost,Google Natural Search,100,No,2018-05-23,23 Months,$0.00
1962,SMB,NA,Internet Software & Services,2019-09-09,,Upgrade,Upgrade,Closed Won,,101,Yes,2019-09-06,31 Months,$6K
1963,Emerging,NA,Biotechnology,2019-09-09,,Upgrade,Upgrade,Closed Won,,0,Yes,2019-09-09,7 Months,$2K
1964,Emerging,EMEA,Professional Services,2019-09-09,,Upgrade,Upgrade,Closed Won,,46,Yes,2019-09-05,60 Months,$5K
1965,Emerging,EMEA,Internet Software & Services,2019-09-09,,Upgrade,Upgrade,Closed Won,,50,Yes,2019-09-05,11 Months,$2K
1966,Emerging,EMEA,Internet Software & Services,2019-09-09,,Upgrade,Upgrade,Closed Won,,27,Yes,2019-09-03,11 Months,$6K
1967,SMB,EMEA,Internet Software & Services,2019-09-06,,Upgrade,Upgrade,Closed Won,,,Yes,2019-08-02,31 Months,$11K
1968,Emerging,NA,Internet Software & Services,2019-09-06,,Upgrade,Upgrade,Closed Won,,,Yes,2019-09-06,60 Months,$6K
1969,Emerging,NA,Public Safety,2019-09-06,,Upgrade,Upgrade,Closed Won,,90,Yes,2019-08-23,60 Months,$3K
1970,Emerging,NA,Internet Software & Services,2019-09-06,,Upgrade,Upgrade,Closed Won,,45,Yes,2019-09-04,60 Months,$3K
1971,SMB,EMEA,Internet Software & Services,2019-09-06,,Upgrade,Upgrade,Closed Won,,375,Yes,2019-09-05,11 Months,$5K
1972,Emerging,EMEA,,2019-09-06,,Upgrade,Upgrade,Closed Won,,,Yes,2019-07-10,11 Months,-$504.00
1973,SMB,NA,Technology,2019-09-06,,Upgrade,Upgrade,Closed Won,,400,Yes,2019-08-28,47 Months,$4K
1974,Emerging,NA,Professional Services,2019-09-05,,Upgrade,Upgrade,Closed Won,,28,No,2019-09-03,41 Months,$2K
1975,Emerging,NA,Internet Software & Services,2019-09-05,Google Natural Search,Upgrade,Upgrade,Closed Won,Google Natural Search,29,Yes,2019-08-30,47 Months,-$900.00
1976,Emerging,NA,Internet Software & Services,2019-09-05,,Upgrade,Upgrade,Closed Won,,24,Yes,2019-08-21,47 Months,$7K
1977,Emerging,NA,,2019-09-05,Website,New Deal,New,Closed Won,Website,,Yes,2019-08-28,31 Months,$8K
1978,Emerging,NA,Internet Software & Services,2019-09-05,,Upgrade,Upgrade,Closed Won,,40,Yes,2019-08-30,60 Months,$2K
1979,SMB,NA,Internet Software & Services,2019-09-05,,Upgrade,Upgrade,Closed Won,,230,Yes,2019-09-03,41 Months,$6K
1980,SMB,NA,Internet Software & Services,2019-09-05,,Upgrade,Upgrade,Closed Won,,51,Yes,2019-09-04,39 Months,$19K
1981,Emerging,EMEA,,2019-09-05,Website,New Deal,New,Closed Won,Website,,Yes,2019-08-27,58 Months,$33K
1982,Emerging,EMEA,,2019-09-05,,New Deal,New,Closed Won,,,Yes,2019-07-16,11 Months,$8K
1983,Emerging,EMEA,Internet Software & Services,2019-09-04,,Upgrade,Upgrade,Closed Won,,16,Yes,2019-09-04,11 Months,$1K
1984,Emerging,NA,Internet Software & Services,2019-09-04,,Upgrade,Upgrade,Closed Won,,50,Yes,2019-08-21,47 Months,-$660.00
1985,SMB,NA,Internet Software & Services,2019-09-04,,Upgrade,Upgrade,Closed Won,,37,Yes,2019-08-29,47 Months,$2K
1986,Emerging,EMEA,Professional Services,2019-09-04,,Upgrade,Upgrade,Closed Won,,,Yes,2019-08-29,11 Months,$1K
1987,Emerging,NA,,2019-09-04,Website,New Deal,New,Closed Won,Website,,Yes,2019-09-03,39 Months,$8K
1988,Emerging,NA,Internet Software & Services,2019-09-04,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,48,No,2019-07-19,31 Months,$8K
1989,SMB,NA,Health Care Providers & Services,2019-09-03,,Upgrade,Upgrade,Closed Won,,51,Yes,2019-08-23,47 Months,$27K
1990,Emerging,NA,Internet Software & Services,2019-09-03,,Upgrade,Upgrade,Closed Won,,30,Yes,2019-08-20,31 Months,$6K
1991,SMB,NA,Internet Software & Services,2019-09-03,,Upgrade,Upgrade,Closed Won,,201,Yes,2019-09-03,31 Months,$1K
1992,SMB,NA,Internet Software & Services,2019-09-03,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,157,Yes,2019-07-02,39 Months,$14K
1993,Emerging,NA,Information Services,2019-09-03,,Upgrade,Upgrade,Disqualified,,100,Yes,2019-08-26,47 Months,$1K
1994,Emerging,NA,Internet Software & Services,2019-09-03,,Upgrade,Upgrade,Closed Won,,30,Yes,2019-08-28,39 Months,$3K
1995,Emerging,NA,Consulting,2019-09-03,,Upgrade,Upgrade,Closed Won,,,Yes,2019-08-29,4 Months,$3K
1996,SMB,NA,Internet Software & Services,2019-09-03,,Upgrade,Upgrade,Closed Won,,61,Yes,2019-08-26,3 Months,$38K
1997,SMB,NA,Professional Services,2019-09-03,Datahug,New Deal,New,Closed Lost,Datahug,210,No,2019-05-23,41 Months,$14K
1998,Emerging,NA,Media,2019-09-03,,Upgrade,Upgrade,Disqualified,,46,Yes,2019-08-19,47 Months,$6K
1999,SMB,NA,Internet Software & Services,2019-09-03,,New Deal,New,Disqualified,,201,No,2019-08-20,4 Months,$15K
2000,SMB,NA,Professional Services,2019-09-01,Google Natural Search,New Deal,New,Closed Lost,Google Natural Search,346,No,2019-04-03,39 Months,$52K
2001,SMB,NA,Internet Software & Services,2019-08-31,,Upgrade,Upgrade,Closed Won,,66,Yes,2019-08-29,47 Months,$5K
2002,SMB,NA,Internet Software & Services,2019-08-31,,Upgrade,Upgrade,Closed Won,,68,Yes,2019-05-20,60 Months,$10K
2003,SMB,NA,Business Services,2019-08-31,,New Deal,New,Closed Lost,,30,No,2019-06-24,4 Months,$3K
2004,SMB,NA,Consulting,2019-08-31,,New Deal,New,Closed Won,,82,Yes,2019-08-15,31 Months,$8K
2005,Emerging,NA,Internet Software & Services,2019-08-31,Datahug,New Deal,New,Closed Lost,Datahug,50,No,2019-04-26,39 Months,$20K
2006,SMB,NA,Diversified Financial Services,2019-08-31,SalesLoft (Prospector),New Deal,New,Closed Won,SalesLoft (Prospector),30,Yes,2019-05-23,4 Months,$37K
2007,SMB,NA,Health Care Providers & Services,2019-08-31,LeadIQ,New Deal,New,Closed Lost,LeadIQ,587,No,2018-10-22,39 Months,$0.00
2008,Emerging,NA,Professional Services,2019-08-31,,Upgrade,Upgrade,Closed Won,,20,Yes,2019-07-09,60 Months,$5K
2009,Emerging,NA,Internet Software & Services,2019-08-31,Data Vendor,New Deal,New,Closed Won,Data Vendor,10,Yes,2019-08-22,7 Months,$14K
2010,SMB,NA,Internet Software & Services,2019-08-31,Web,New Deal,New,Closed Won,Web,51,Yes,2019-06-14,31 Months,$49K
2011,SMB,NA,Internet Software & Services,2019-08-31,,Upgrade,Upgrade,Closed Won,,11,Yes,2019-08-05,39 Months,$12K
2012,Emerging,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Won,,50,Yes,2019-08-30,41 Months,$2K
2013,Emerging,NA,Internet Software & Services,2019-08-30,Website,New Deal,New,Closed Won,Website,20,Yes,2019-07-22,31 Months,$36K
2014,SMB,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Disqualified,,51,Yes,2019-02-11,60 Months,$34K
2015,Emerging,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Lost,,51,Yes,2019-03-22,60 Months,$18K
2016,SMB,NA,Professional Services,2019-08-30,,Upgrade,Upgrade,Closed Lost,,79,Yes,2019-05-15,41 Months,$5K
2017,Emerging,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Won,,5,Yes,2019-08-30,60 Months,$2K
2018,SMB,NA,Computer Hardware,2019-08-30,Outbound,New Deal,New,Closed Won,Outbound,31,Yes,2019-08-14,31 Months,$9K
2019,SMB,EMEA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Won,,160,Yes,2019-08-14,4 Months,$7K
2020,SMB,NA,Industrial Conglomerates,2019-08-30,Outbound,New Deal,New,Closed Won,Outbound,151,Yes,2019-08-15,58 Months,$14K
2021,SMB,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Won,,175,No,2019-08-30,3 Months,$4K
2022,Emerging,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Won,,30,Yes,2019-08-30,60 Months,$2K
2023,Mid-Market,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Won,,51,Yes,2019-08-02,60 Months,-$660.03
2024,Emerging,NA,,2019-08-30,Website,New Deal,New,Closed Won,Website,,Yes,2019-08-02,4 Months,$9K
2025,Enterprise,NA,Diversified Telecommunication Services,2019-08-30,Outbound BDR,New Deal,New,Closed Won,Outbound BDR,"4,000",Yes,2019-06-14,15 Months,$16K
2026,SMB,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Won,,0,Yes,2019-08-26,60 Months,$1K
2027,SMB,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Won,,31,Yes,2019-08-08,60 Months,$1K
2028,SMB,NA,Internet Software & Services,2019-08-30,Datahug,New Deal,New,Closed Won,Datahug,51,Yes,2019-08-15,47 Months,$14K
2029,SMB,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Disqualified,,51,Yes,2019-07-31,60 Months,-$933.08
2030,Emerging,NA,Internet Software & Services,2019-08-30,Data Vendor,New Deal,New,Closed Won,Data Vendor,75,Yes,2019-05-15,31 Months,$46K
2031,Emerging,EMEA,,2019-08-30,Website,New Deal,New,Closed Won,Website,,Yes,2019-08-27,11 Months,$8K
2032,Emerging,NA,Professional Services,2019-08-30,Datahug,New Deal,New,Closed Won,Datahug,90,Yes,2019-08-02,31 Months,$62K
2033,Emerging,NA,Professional Services,2019-08-30,SalesLoft (Prospector),New Deal,New,Closed Won,SalesLoft (Prospector),10,Yes,2019-08-29,31 Months,$8K
2034,Emerging,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Lost,,50,Yes,2019-07-09,41 Months,$5K
2035,SMB,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Won,,30,Yes,2019-08-28,7 Months,$4K
2036,Emerging,NA,Media,2019-08-30,,Upgrade,Upgrade,Closed Won,,45,Yes,2019-08-30,41 Months,$3K
2037,SMB,NA,Internet Software & Services,2019-08-30,Datahug,New Deal,New,Closed Won,Datahug,200,Yes,2019-07-29,47 Months,$2K
2038,Mid-Market,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Won,,150,Yes,2019-08-16,39 Months,$30K
2039,SMB,NA,Computer Software,2019-08-30,,Upgrade,Upgrade,Closed Won,,11,Yes,2019-08-30,60 Months,$4K
2040,Emerging,NA,Media,2019-08-30,,Upgrade,Upgrade,Closed Won,,52,Yes,2019-08-30,60 Months,$2K
2041,Emerging,NA,Hospital & Health Care,2019-08-30,,Upgrade,Upgrade,Closed Won,,,Yes,2019-08-30,60 Months,$1K
2042,Emerging,NA,Internet Software & Services,2019-08-30,Website,New Deal,New,Closed Won,Website,60,Yes,2019-08-09,47 Months,$15K
2043,Emerging,NA,Transportation,2019-08-30,,Upgrade,Upgrade,Closed Won,,30,Yes,2019-08-26,60 Months,-$959.95
2044,Emerging,EMEA,Internet Software & Services,2019-08-30,Data Vendor,New Deal,New,Closed Won,Data Vendor,50,Yes,2019-01-25,39 Months,$36K
2045,Emerging,NA,Internet Software & Services,2019-08-30,,Upgrade,Upgrade,Closed Won,,40,Yes,2019-08-30,41 Months,$3K
2046,Emerging,NA,Media,2019-08-30,Datahug,New Deal,New,Closed Won,Datahug,45,Yes,2019-06-27,47 Months,$8K
2047,Emerging,NA,Internet Software & Services,2019-08-29,,Upgrade,Upgrade,Closed Won,,0,Yes,2019-08-16,60 Months,$14K
2048,SMB,NA,Internet Software & Services,2019-08-29,,Upgrade,Upgrade,Closed Won,,35,Yes,2019-08-29,47 Months,$2K
2049,SMB,NA,Professional Services,2019-08-29,,Upgrade,Upgrade,Closed Won,,150,Yes,2019-08-28,60 Months,$1K
2050,SMB,NA,Professional Services,2019-08-29,,Upgrade,Upgrade,Closed Won,,51,Yes,2019-08-20,60 Months,-$900.05
2051,SMB,EMEA,Internet Software & Services,2019-08-29,,Upgrade,Upgrade,Closed Won,,11,Yes,2019-08-07,39 Months,$21K
2052,SMB,NA,Internet Software & Services,2019-08-29,,Upgrade,Upgrade,Closed Won,,0,Yes,2019-08-14,60 Months,$4K
2053,Emerging,NA,Internet Software & Services,2019-08-29,,Upgrade,Upgrade,Closed Won,,3,Yes,2019-08-29,60 Months,$1K
2054,SMB,NA,Internet Software & Services,2019-08-29,,Upgrade,Upgrade,Closed Won,,30,Yes,2019-08-29,60 Months,-$600.00
2055,Emerging,NA,Human Resources,2019-08-29,,Upgrade,Upgrade,Closed Won,,40,Yes,2019-08-15,4 Months,$5K
2056,Emerging,NA,,2019-08-29,Website,New Deal,New,Closed Won,Website,,Yes,2019-07-17,4 Months,$8K
2057,Mid-Market,NA,Internet Software & Services,2019-08-29,,Upgrade,Upgrade,Disqualified,,51,Yes,2019-07-02,60 Months,-$660.03
2058,SMB,NA,Internet Software & Services,2019-08-29,,Upgrade,Upgrade,Closed Won,,125,Yes,2019-08-07,39 Months,$3K
2059,Emerging,NA,Professional Services,2019-08-29,Datahug,New Deal,New,Closed Won,Datahug,20,Yes,2019-07-25,31 Months,$8K
2060,Emerging,EMEA,Technology,2019-08-29,Google Natural Search,New Deal,New,Closed Won,Google Natural Search,140,Yes,2019-06-04,11 Months,$24K
2061,SMB,NA,Internet Software & Services,2019-08-29,,Upgrade,Upgrade,Closed Won,,51,Yes,2019-08-26,15 Months,$8K
2062,Emerging,NA,Education Services,2019-08-29,Website,New Deal,New,Closed Won,Website,45,Yes,2019-08-23,39 Months,$23K
2063,Emerging,NA,,2019-08-29,,New Deal,New,Closed Won,,,Yes,2019-08-15,31 Months,$8K
2064,SMB,NA,Internet Software & Services,2019-08-29,Datahug,New Deal,New,Closed Won,Datahug,101,Yes,2019-08-16,31 Months,$14K
2065,Enterprise,NA,Professional Services,2019-08-29,Datahug,Upgrade,Upgrade,Closed Won,Datahug,"1,001",Yes,2019-08-14,4 Months,$16K
2066,Emerging,NA,,2019-08-28,,Upgrade,Upgrade,Closed Won,,,Yes,2019-08-07,31 Months,$17K
2067,Emerging,NA,Internet Software & Services,2019-08-28,,Upgrade,Upgrade,Closed Won,,11,Yes,2019-08-27,60 Months,-$408.16
2068,Emerging,NA,Internet Software & Services,2019-08-28,,Upgrade,Upgrade,Closed Won,,88,Yes,2019-08-28,4 Months,$3K
2069,Emerging,NA,,2019-08-28,Website,New Deal,New,Closed Won,Website,,Yes,2019-08-08,4 Months,$8K
2070,Emerging,NA,Engineering,2019-08-28,Outbound,New Deal,New,Closed Won,Outbound,120,Yes,2019-07-31,47 Months,$12K
2071,Emerging,EMEA,Internet Software & Services,2019-08-28,Website,New Deal,New,Closed Won,Website,17,Yes,2019-07-31,11 Months,$14K
2072,SMB,NA,Internet Software & Services,2019-08-28,SalesLoft (Prospector),Upgrade,Upgrade,Closed Won,SalesLoft (Prospector),201,Yes,2019-08-22,31 Months,$6K
2073,SMB,NA,Internet Software & Services,2019-08-28,Website,New Deal,New,Closed Won,Website,56,Yes,2019-07-24,4 Months,$12K
2074,Enterprise,APAC,Internet,2019-08-28,Website,New Deal,New,Closed Won,Website,,Yes,2019-07-17,15 Months,$51K
2075,Emerging,NA,,2019-08-28,Website,New Deal,New,Closed Won,Website,,Yes,2019-06-19,31 Months,$8K
2076,Emerging,NA,Internet Software & Services,2019-08-27,,Upgrade,Upgrade,Closed Won,,8,Yes,2019-08-27,60 Months,$4K
2077,Emerging,NA,Internet Software & Services,2019-08-27,,Upgrade,Upgrade,Closed Won,,50,Yes,2019-08-26,47 Months,$3K
2078,Enterprise,NA,Internet Software & Services,2019-08-27,Datahug,Upgrade,Upgrade,Closed Won,Datahug,"2,826",Yes,2019-04-05,15 Months,$13K
2079,Emerging,NA,Computer Software,2019-08-27,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,,Yes,2019-08-20,47 Months,$8K
2080,SMB,EMEA,Internet Software & Services,2019-08-27,,Upgrade,Upgrade,Closed Won,,,Yes,2019-07-29,47 Months,$7K
2081,SMB,NA,Computer Software,2019-08-27,,Upgrade,Upgrade,Closed Won,,51,Yes,2019-08-16,39 Months,$3K
2082,Emerging,NA,,2019-08-27,,Upgrade,Upgrade,Closed Won,,,Yes,2019-08-27,31 Months,$0.00
2083,Emerging,NA,,2019-08-27,,New Deal,New,Closed Won,,,Yes,2019-08-05,58 Months,$8K
2084,Mid-Market,NA,Internet Software & Services,2019-08-27,,Upgrade,Upgrade,Disqualified,,540,Yes,2019-08-26,60 Months,$1K
2085,Mid-Market,NA,Internet Software & Services,2019-08-27,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,"1,001",Yes,2019-07-12,23 Months,$19K
2086,Emerging,NA,Internet Software & Services,2019-08-26,,Upgrade,Upgrade,Closed Won,,10,Yes,2019-08-08,41 Months,$1K
2087,Emerging,NA,,2019-08-26,Website,New Deal,New,Closed Won,Website,,Yes,2019-08-08,4 Months,$8K
2088,SMB,NA,Internet Software & Services,2019-08-26,Data Vendor,New Deal,New,Closed Won,Data Vendor,50,Yes,2019-05-30,15 Months,$9K
2089,SMB,NA,,2019-08-26,Website,New Deal,New,Closed Won,Website,,Yes,2019-08-13,4 Months,$8K
2090,Emerging,NA,Internet Software & Services,2019-08-26,,Upgrade,Upgrade,Closed Won,,60,Yes,2019-08-20,31 Months,$2K
2091,SMB,APAC,Media,2019-08-26,,Upgrade,Upgrade,Closed Won,,51,Yes,2019-08-23,3 Months,$6K
2092,SMB,APAC,Internet Software & Services,2019-08-26,,Upgrade,Upgrade,Closed Won,,50,Yes,2019-08-21,39 Months,$5K
2093,SMB,NA,Internet Software & Services,2019-08-26,,Upgrade,Upgrade,Closed Won,,50,Yes,2019-08-23,60 Months,$2K
2094,Emerging,NA,Internet Software & Services,2019-08-26,,Upgrade,Upgrade,Closed Won,,175,Yes,2019-08-20,60 Months,$4K
2095,SMB,NA,Professional Services,2019-08-26,,Upgrade,Upgrade,Closed Won,,37,Yes,2019-08-08,60 Months,$1K
